What does “academic success” mean to you?,How would you describe your academic goals right now?,How would you describe your academic goals right now?,Where do you think your ideas about academic success come from? Please rank them in order of most influential (1 = most influential; 8 = least influential). - Family,Where do you think your ideas about academic success come from? Please rank them in order of most influential (1 = most influential; 8 = least influential). - Professors/Advisors/Mentors,Where do you think your ideas about academic success come from? Please rank them in order of most influential (1 = most influential; 8 = least influential). - Friends/Peers,Where do you think your ideas about academic success come from? Please rank them in order of most influential (1 = most influential; 8 = least influential). - School culture,Where do you think your ideas about academic success come from? Please rank them in order of most influential (1 = most influential; 8 = least influential). - Community expectations,Where do you think your ideas about academic success come from? Please rank them in order of most influential (1 = most influential; 8 = least influential). - Social Media,Where do you think your ideas about academic success come from? Please rank them in order of most influential (1 = most influential; 8 = least influential). - Career goals,Where do you think your ideas about academic success come from? Please rank them in order of most influential (1 = most influential; 8 = least influential). - Individual experiences,Do you ever feel pressure to succeed academically?,Where does that academic pressure come from?,Where does that academic pressure come from?,Why do you NOT feel pressure to succeed academically?,How does that pressure make you feel?,How does that pressure make you feel?,Do you feel like you have the resources and support you need to achieve academic success?,Why do you feel this way?,Why not?,Does the amount of resources available to you effect how others see your academic potential?,"If you did not do well academically, how much do you think it would effect your future?","OPTIONAL: In what ways, specifically, would this effect your future?",How do you usually feel when you do well in school?,What about when you struggle academically? How do you feel then?,What are you proud of from your most recent school year?,What year of college are you currently in?,What type of school do you go to?,Are you receiving financial aid?,"Thinking back to high school, was the college you are currently attending one of your top three choices?","In high school, where would you situate yourself from an academic standpoint?",Is your current career ambitions the same as you had envisioned in high school?,Is there anything else you would like to share?,"Think of this ladder as representing where people stand in the United States. 
The ladder has 10 rungs. At the top of the ladder are the people who are the best off – those who have the most money, the most education, and the most respected jobs. At the bottom are the people who are the worst off – those who have the least money, least education, the least respected jobs, or no job. 

      

      Now think about your family.
Indicate the rung where you think you stand at this time in your life relative to other people in the United States.","Think of this ladder as representing where people stand in their communities. 
The ladder has 10 rungs. People define community in different ways; please define it in whatever way is most meaningful to you. At the top of the ladder are people who have the highest standing in their community. At the bottom are the people who have the lowest standing in their community. 


      Where would you place yourself on this ladder?
Indicate the rung that best represents where you would be on this ladder."
doing well in your studies,"Getting good grades,Career preparation,Time management,Balancing stress,Pursuing knowledge/answers",,3,2,4,1,5,6,7,8,Yes,Family,,,Both,,Yes,I have lots of resources,,"Yes, I have sufficient resources and feel adequately prepared to achieve my version of success. This DOES affect how others see my academic potential - (ex.) they feel that with the surplus of resources available to me I should be achieving higher)",Somewhat more,I wouldn't get a lucrative job.,"Happy,Dignified,Anxious,Stressed","Annoyed,Stressed,Anxious","Major assignments,Time management,Balancing stress,Attaining top grades",First year or equivalent,Community college,Yes,No,Top 10% of the class,"NO, my career ambitions have changed A LOT from when I was in high school",,7,6
Academic success means successfully completing courses to the best of your ability and receiving your degree. It means doing well in classes. ,"Time management,Balancing stress,Grad/professional school preparation,Pursuing knowledge/answers",,5,4,6,7,3,8,1,2,Yes,Career Goals,,,Both,,Yes,I have had great instructors who have always been willing to help. I also have a manager who has been willing to give me any time off I need to work on school.,,"Yes, I have enough resources and feel prepared to achieve my version of academic success. This DOES NOT affect how others see my academic potential.",Much more,I would not get into law school and would have to completely rethink my career path. ,"Happy,Relieved,Gratified","Confused,Annoyed,Angry,Stressed,Anxious,Nervous,Stuck","Major assignments,Time management,Balancing stress,Awards/Recognition",Fourth year of equivalent,Online institution,Yes,Yes,I cannot remember,"NO, my career ambitions have changed A LOT from when I was in high school",,3,3
Having good grades.,"Getting good grades,Balancing stress,Internships/co-ops,Pursuing knowledge/answers",,6,3,7,4,5,8,1,2,No,,,Because I want to succeed academically in my own way.,Motivated,,Yes,Because I have people who support me.,,"Yes, I have enough resources and feel prepared to achieve my version of academic success. This DOES NOT affect how others see my academic potential.",Somewhat more,Not having a stable job and being stuck in school.,"Happy,Relieved,Proud","Stressed,Anxious,Stuck","Tests,Projects,Balancing stress,Service",Fourth year of equivalent,Public institution,Yes,Yes,None of these choices are applicable to me,"YES, my career ambitions have REMAINED THE SAME from when I was in high school",,5,1
"It means not only getting good grades, but being able to apply what you've learned.","Getting good grades,Career preparation",,2,4,3,1,7,8,6,5,Probably yes,School Environment,,,Both,,Like somewhat,There are places I could go if I ever needed help,,"Yes, I have sufficient resources and feel adequately prepared to achieve my version of success. This DOES affect how others see my academic potential - (ex.) they feel that with the surplus of resources available to me I should be achieving higher)",Somewhat more,I think that using these resources would probably be beneficial.,"Happy,Proud","Stressed,Anxious","Projects,Attaining top grades,Independent Studies/Passion Projects",Fourth year of equivalent,Public institution,Yes,Yes,Top 25% of the class,"YES, my career ambitions have REMAINED THE SAME from when I was in high school",No,5,5
Academic success means getting good grades and understanding the content being presented to you.,"Getting good grades,Career preparation,Time management,Balancing stress,Pursuing knowledge/answers",,5,1,6,2,7,8,4,3,Maybe,,,,Both,,Yes,I have a lot of resources provided by my campus along with a support system in my personal life. My campus strives to ensure that students can get any support they need for their academic life.,,"Yes, I have sufficient resources and feel adequately prepared to achieve my version of success. This DOES affect how others see my academic potential - (ex.) they feel that with the surplus of resources available to me I should be achieving higher)",Much more,I might take longer getting my degree causing me to have a delay in my future career.,"Happy,Anxious,Stressed","Confused,Stressed,Nervous,Stuck","Projects,Major assignments,Time management,Balancing stress,Impressing your parents/guardians,Awards/Recognition,Service,Internship/Career-oriented work",Third year or equivalent,Private institution,Yes,No,Top 50% of the class,"NO, my career ambitions have changed A LOT from when I was in high school",,7,5
Being able to maintain good grades. ,"Getting good grades,Career preparation,Grad/professional school preparation,Pursuing knowledge/answers",,2,3,5,7,8,6,1,4,Yes,Myself,,,Both,,Like somewhat,"I feel like there are plenty of resources, but at least for my chosen career field, my university doesn't really have enough resources. I have resources to stay on top of my grades, but not in the way that will help me in my career.",,"No, I do not have access to sufficient resources and thus feel inadequately prepared to achieve my version of success. This DOES NOT affect how others see my academic potential.",Somewhat more,"I would have to change my trajectory in life. I would have to find out what I want to do- career wise, and that stresses me out. ","Happy,Relieved,Gratified,Dignified,Proud","Stressed,Anxious,Stuck","Time management,Impressing your parents/guardians",Third year or equivalent,Private institution,No,Yes,Top 1% of the class,"YES, my career ambitions have REMAINED THE SAME from when I was in high school",,7,4
Academic success means fully grasping the knowledge you have been given in order to thrive in a future career job and taking advantage of opportunities in order to fulfill your goals. It also includes the basics such as achieving good grades and good test scores as well as building up applicable skills. ,"Career preparation,Internships/co-ops",,1,4,7,5,6,8,2,3,Yes,Myself,,,Both,,Yes,"Pushing myself towards academic success can be overwhelming at times, but when I do overcome academic challenges, it gives me the motivation to get through anything I need to get through. ",,"Yes, I have enough resources and feel prepared to achieve my version of academic success. This DOES NOT affect how others see my academic potential.",Somewhat more,"If I didn't do well academically, it would make me not stand out and might lessen my opportunities. ","Relieved,Gratified,Proud","Stressed,Stuck","Projects,Attaining top grades,Internship/Career-oriented work",Fourth year of equivalent,Public institution,No,No,Top 10% of the class,"NO, my career ambitions have changed A LOT from when I was in high school",,7,5
To graduate with a decent paying job.,"Getting good grades,Career preparation,Internships/co-ops",,1,5,2,7,6,8,3,4,Yes,Myself,,,Both,,Like somewhat,I have resources but sometime I feel too lazy to reach out and use those resources.,,"Yes, I have enough resources and feel prepared to achieve my version of academic success. This DOES NOT affect how others see my academic potential.",Much more,not being able to find a internship and get the fin aid to be able to go to school,"Happy,Stressed","Annoyed,Angry,Stressed,Stuck","Projects,Major assignments",Fourth year of equivalent,Public institution,Yes,Yes,Top 1% of the class,"NO, my career ambitions have changed A LITTLE from when I was in high school",,5,5
"Academic success means doing my schoolwork, being healthy, and having a life that makes me happy. The ultimate goal of school is to graduate with a degree.","Getting good grades,Time management,Balancing stress,Pursuing knowledge/answers,Other","Stressful and difficult. Sometimes it feels like there's too much schoolwork to do, too much to balance, and too much going on in my life.",1,2,7,3,5,8,4,6,Yes,Myself,,,Stressed,,No,,"Although I have some resources, like counseling available through my school, I don't feel like I have enough resources to be mentally, emotionally, and physically well. For example, I come have a complicated background with financial struggles, and neither I nor the school can wipe away those struggles, or even other struggles I have.","No, none of these statements relate to me",Much more,"I'd feel like a failure and would be perceived as one by at least some members of my family, if not most of the family. I'd have much less success in life, and I'd be much likelier to fall apart as a person. Right now, school is everything, and if I can't do that to the end, what else do I have?","Happy,Relieved,Proud","Stressed,Anxious,Nervous,Stuck",Nothing on this list stands out,First year or equivalent,Online institution,Yes,No,Top 25% of the class,"NO, my career ambitions have changed A LOT from when I was in high school","Very interesting study! I feel like students like me will be able to share unique perspectives on this one, especially since school experiences can be so different.",6,6
"not just getting good grades, but actually absorbing the knowledge and gaining practical experience","Getting good grades,Career preparation,Time management,Balancing stress,Pursuing knowledge/answers",,5,7,6,4,2,8,3,1,Yes,Myself,,,Both,,Yes,"I have the resources and the ability to manage my time and effort, I just have to be persistent about doing so",,"Yes, I have sufficient resources and feel adequately prepared to achieve my version of success. This DOES affect how others see my academic potential - (ex.) they feel that with the surplus of resources available to me I should be achieving higher)",Somewhat more,It may affect job prospects and opportunities,"Relieved,Gratified,Proud","Annoyed,Angry,Stressed,Anxious,Nervous,Stuck","Projects,Major assignments",Third year or equivalent,Public institution,Yes,,Top 50% of the class,"NO, my career ambitions have changed A LOT from when I was in high school",no,5,5
