definition,academicgoals,describeacademicgoals,resourceswhy,futureimpact
doing well in your studies,"Getting good grades,Career preparation,Time management,Balancing stress,Pursuing knowledge/answers",,I have lots of resources,I wouldn't get a lucrative job.
Academic success means successfully completing courses to the best of your ability and receiving your degree. It means doing well in classes. ,"Time management,Balancing stress,Grad/professional school preparation,Pursuing knowledge/answers",,I have had great instructors who have always been willing to help. I also have a manager who has been willing to give me any time off I need to work on school.,I would not get into law school and would have to completely rethink my career path. 
Having good grades.,"Getting good grades,Balancing stress,Internships/co-ops,Pursuing knowledge/answers",,Because I have people who support me.,Not having a stable job and being stuck in school.
"It means not only getting good grades, but being able to apply what you've learned.","Getting good grades,Career preparation",,There are places I could go if I ever needed help,I think that using these resources would probably be beneficial.
Academic success means getting good grades and understanding the content being presented to you.,"Getting good grades,Career preparation,Time management,Balancing stress,Pursuing knowledge/answers",,I have a lot of resources provided by my campus along with a support system in my personal life. My campus strives to ensure that students can get any support they need for their academic life.,I might take longer getting my degree causing me to have a delay in my future career.
Being able to maintain good grades. ,"Getting good grades,Career preparation,Grad/professional school preparation,Pursuing knowledge/answers",,"I feel like there are plenty of resources, but at least for my chosen career field, my university doesn't really have enough resources. I have resources to stay on top of my grades, but not in the way that will help me in my career.","I would have to change my trajectory in life. I would have to find out what I want to do- career wise, and that stresses me out. "
Academic success means fully grasping the knowledge you have been given in order to thrive in a future career job and taking advantage of opportunities in order to fulfill your goals. It also includes the basics such as achieving good grades and good test scores as well as building up applicable skills. ,"Career preparation,Internships/co-ops",,"Pushing myself towards academic success can be overwhelming at times, but when I do overcome academic challenges, it gives me the motivation to get through anything I need to get through. ","If I didn't do well academically, it would make me not stand out and might lessen my opportunities. "
To graduate with a decent paying job.,"Getting good grades,Career preparation,Internships/co-ops",,I have resources but sometime I feel too lazy to reach out and use those resources.,not being able to find a internship and get the fin aid to be able to go to school
"Academic success means doing my schoolwork, being healthy, and having a life that makes me happy. The ultimate goal of school is to graduate with a degree.","Getting good grades,Time management,Balancing stress,Pursuing knowledge/answers,Other","Stressful and difficult. Sometimes it feels like there's too much schoolwork to do, too much to balance, and too much going on in my life.",,"I'd feel like a failure and would be perceived as one by at least some members of my family, if not most of the family. I'd have much less success in life, and I'd be much likelier to fall apart as a person. Right now, school is everything, and if I can't do that to the end, what else do I have?"
"not just getting good grades, but actually absorbing the knowledge and gaining practical experience","Getting good grades,Career preparation,Time management,Balancing stress,Pursuing knowledge/answers",,"I have the resources and the ability to manage my time and effort, I just have to be persistent about doing so",It may affect job prospects and opportunities
It means graduating with a degree and getting a great career with it. ,"Career preparation,Time management,Balancing stress",,"I am smart enough to get the grades, but I was always expected to pay for my own schooling. It can get expensive. ",I want to get into medical school. Without good grades I won’t get admitted. They are picky. 
Academic success means achieving good grades and genuinely learning enough to back them up without cheating/AI/any other academic dishonesty.,"Getting good grades,Career preparation,Time management,Balancing stress,Extracurriculars/Clubs,Internships/co-ops,Pursuing knowledge/answers",,"I go to a huge and quite good school in a highly populated state, my parents have saved a lot of money because they want me to have a good education, and I am smart and know where to look and how to network.",I would be unequipped to go into the field and look for work.
understanding and retaining knowledge ,"Getting good grades,Career preparation,Time management,Balancing stress,Grad/professional school preparation",,"Because growing up everyone around knew I was destined to succeed, some where along the road I fell off. I'm the first in my immediate family to have a College degree. ",it's getting harder to survive.  A good education and job is much more secure now a days 
someone with a lot of academic certifications,Career preparation,,partial,no
Goals and achievements made academically.  School ,"Time management,Pursuing knowledge/answers",,Im not depending on others except those who are instrumental in my goals ,Being able to quality with competition in the job market 
"To me, academic success involves reaching personal and educational milestones through ongoing effort, comprehension, and development. It is not solely about high grades or test scores but also about nurturing critical thinking abilities, curiosity, resilience, and a passion for learning. Ultimately, it’s the meaningful advancement of knowledge and skills while fostering perseverance, integrity, and a growth mindset that encourages lifelong learning and personal improvement.",Balancing stress,,"I believe that a comprehensive approach to academics is vital for personal development and future success, which shapes how I feel. Pursuing good grades while participating in extracurricular activities enhances my confidence, skills, and experiences beyond the classroom setting. Moreover, effectively managing stress and time keeps me motivated and supports my well-being. Preparing for graduate or professional school alongside gaining practical experience through internships or co-ops are crucial steps towards reaching my career aspirations. Ultimately, these motivations arise from a desire to learn continuously, develop personally, and ready myself for upcoming opportunities and challenges.","By developing a strong academic record, securing relevant internships, and engaging in extracurricular activities, I will become a competitive candidate for graduate or professional programs and future employers."
"Academic success means to me, that you have completed many scholar classes and have a degree of some sort.","Getting good grades,Career preparation,Time management,Balancing stress,Pursuing knowledge/answers",,,It would make things stay the same for me. I wouldn't make any more money.
good grades,Career preparation,,I welcome challenges,It seems like no one is hiring so it really wouldn't matter
Academic success means getting the degree to finally find an occupation that won't accept me without it.,"Getting good grades,Career preparation,Grad/professional school preparation,Pursuing knowledge/answers",,I feel as though I somewhat have support because I don't know why I care about any of these goals. I only care because I've been told to care.,"The degree is the most important part of academia. Without the degree, I would lose many opportunities. "
It means achieving at least high B's in class and during assignments while balancing stress-relieving activities. ,"Getting good grades,Career preparation,Grad/professional school preparation",,My professors make it very clear that they're incredibly supportive of students' success. We also have counseling services and professional services that we can go to.,"Experience is more favored in my field (psychology). Even if I wanted to get into a master's program, I just need adequate experience."
I think academic success means able to find a job or get into graduate school out of undergraduate. As if the things you did actually meant something tangible. ,Extracurriculars/Clubs,,I think my family althought the source of my academic stress will back me up in any shape or form possible. Theyre always there for me and right next to me if anything happens to me,"I feel like I do base off my life on academic validation, so I would probably be way more depressed"
Graduating and finding a career in my selected field. ,"Getting good grades,Career preparation,Time management,Balancing stress,Internships/co-ops",,I have no other choice but to graduate and find a stable career path due to my situation.,"If I do not do well, then I won't be allowed in my specific associates program, which would just lengthen my time before getting into a more stable career path. "
it means completing college and working towards a good life,"Internships/co-ops,Pursuing knowledge/answers",,i feel like i can afford school and if not i have money to do it,i wouldn't be able to grow or move up the ladder.  i feel i would be stuck where im mat
Academic success to me means that you successfully complete your academics by getting good grades.,Getting good grades,,Because I am unsure as if I have all the support and information needed but I have some. ,If I am unable to achieve academically it may affect my future career goals. 
Doing your best in your studies and seeing that your best achieves a good grade.,"Getting good grades,Pursuing knowledge/answers",,I hope to achieve good grades which means that I've learned the material.,I would probably think about my future in the career field I've chosen to study
using the degree in which you are titled,Grad/professional school preparation,,self study,opportunity
Graduating with a degree and being able to utilize that for your future profession.,"Getting good grades,Career preparation,Time management,Balancing stress",,I have a supportive partner who would do anything for me.,I wouldn't be able to reach further than a customer service job.
it means getting A's or higher,"Getting good grades,Career preparation,Time management,Balancing stress,Internships/co-ops,Pursuing knowledge/answers",,the internet has any education tool you need,"It really wouldn't in the grand scheme of things (unless i do badly enough to fail a course, then my future would be delayed)"
"Academic success means growing in knowledge, skills, and confidence while achieving goals that prepare me for the future.","Career preparation,Balancing stress,Extracurriculars/Clubs,Internships/co-ops,Pursuing knowledge/answers",,"I feel this way because I have access to helpful professors, campus resources, supportive peers, and opportunities like internships and extracurriculars that guide both my learning and career preparation.","It would significantly affect my future by limiting internship and job opportunities, reducing competitiveness for graduate programs, and making it harder to build a strong professional network"
"It means achieving positive outcomes in education, such as strong performance, personal growth, reaching goals, developing skills that prepare you for future opportunities.","Career preparation,Time management,Pursuing knowledge/answers",,I have a few avenues I can take when issues arise.,"If I hadn't done well, it might have limited my opportunities early on, especially in building the foundation for my career. Specifically, it could have delayed gaining the knowledge, discipline, and credentials I needed to get started, which would have made it harder to estabilish myself professionally as quickly as I did."
"Academic success to me is completing all work on time, and fully understanding of the subjects.","Career preparation,Balancing stress,Grad/professional school preparation",,I feel this way because I have a lot of support from them and I feel that they keep me motivated into doing good.,It would decrease my future average salary and it would be a struggle in getting a career
Academic success means that I am accomplishing the goals that I have set out in front of myself. ,Career preparation,,Because there aren’t many resources that I can physically get to in order to aid myself in being successful. ,It would take longer for me to complete my goals 
Achieving all the academic goals set for myself,"Getting good grades,Career preparation,Time management,Extracurriculars/Clubs,Grad/professional school preparation,Internships/co-ops,Pursuing knowledge/answers",,Because I can comfortably pay my school fees with the help of my parents and they expect me to get a good job after,I might fail to get accepted in that dream job I have always wanted and I end up hustling my life
ability to navigate through life using the knowledge learnt,Career preparation,,cause I have the best resources,I would do something i admire most aside from career 
It is the accomplishment of academic goals and the positive achievement obtained by a student.,"Career preparation,Grad/professional school preparation,Pursuing knowledge/answers",,I put aside some money from my monthly salary to support this.,I would not be a position to achieve my career goals.
To me academic success is about more than just grade or test scores it is about the process of learning growing and developing skills,"Getting good grades,Career preparation,Time management",,i feel all the way to improve my knowledge skills like improvement to increase my gaining knowledge,for more talent based performance is giving a best hand for right time
Academic success means gainning knowledge and building a stable future,"Getting good grades,Career preparation,Time management,Balancing stress,Grad/professional school preparation",,Because support exists but feels limitedd,It would limit careeropportunities and delay goals
"Acquiring skills, knowledge and networking opportunities that prepare individuals for their chosen profession.",Career preparation,,"At my age, I'm a parent and at the same time studying. There is too much on my plate.",Professionally I need a good job to be able to give my family a better future.
"It is personal growth, building exoertise by contributing to  afield of study by knowldge sharing and meeting academic standards","Getting good grades,Career preparation,Time management,Extracurriculars/Clubs,Grad/professional school preparation,Pursuing knowledge/answers",,I have academic professor and my family and resources that i can count on,Time wasted in persuing the program would have wated me big time
Growing your learning capabilities,"Career preparation,Pursuing knowledge/answers",,I have good family and friends that will always support me,It would lead to less prestigious job opportunities
This means achieving predetermined person which can include high grade .,"Getting good grades,Career preparation,Time management,Grad/professional school preparation,Pursuing knowledge/answers",,Either way I will need some help. cant buy my own,Emotional
"Academic success means more than just getting good grades — it’s about growing intellectually, developing important skills, and achieving meaningful goals through learning.","Getting good grades,Time management,Grad/professional school preparation,Pursuing knowledge/answers",,"feel this way because the pressure to achieve academic excellence pushes me to work hard and stay motivated, but it can also be overwhelming at times, causing stress as I try to meet high expectations.","If I did not do well academically, it could limit my opportunities for higher education or certain careers that require strong academic qualifications.

It might also affect my confidence and make it harder to achieve my long-term goals, such as getting a good job or advancing in my chosen field."
Having educational success. ,"Getting good grades,Time management,Balancing stress",,Sometimes you feel alone. ,Would not get a good job. 
